infrared_value,mq2_value,humidity,temperature,label
1,194,-1.0,-1.0,0
1,194,-1.0,-1.0,0
1,194,-1.0,-1.0,0
1,194,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,194,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,194,-1.0,-1.0,0
1,194,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,194,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,194,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,193,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,191,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,0
1,192,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,192,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,190,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
1,191,-1.0,-1.0,1
